Date,Platform,Campaign,Impressions,Clicks,Spend,Conversions,Revenue
2024-03-24,Google Ads,Campaign_30,7934,277,486.67,40,3206.13
2024-06-28,Google Ads,Campaign_21,7939,321,201.87,51,6096.34
2024-10-02,Google Ads,Campaign_2,7967,461,621.67,71,3425.04
2024-04-04,Meta Ads,Campaign_3,8112,411,323.53,27,826.49
2024-06-01,Google Ads,Campaign_15,7955,427,378.68,50,4572.19
2024-12-11,Meta Ads,Campaign_14,8069,424,880.05,59,2918.01
2024-07-06,Google Ads,Campaign_14,7842,461,587.07,32,1798.81
2024-03-02,Meta Ads,Campaign_21,7824,423,447.91,68,7573.82
2024-04-24,Meta Ads,Campaign_30,8102,257,195.2,44,2141.65
2024-10-06,Google Ads,Campaign_11,8065,466,860.67,48,4981.62
2024-09-23,Google Ads,Campaign_21,7997,308,508.81,30,1118.59
2024-07-03,Meta Ads,Campaign_12,8021,475,614.17,74,5165.45
2024-08-01,Meta Ads,Campaign_30,8016,413,437.3,69,6724.92
2024-04-12,Google Ads,Campaign_24,7910,206,252.53,31,2958.73
2024-03-09,Google Ads,Campaign_22,8112,258,589.98,38,3442.7
2024-07-09,Google Ads,Campaign_5,8014,415,680.66,66,7853.81
2024-06-10,Meta Ads,Campaign_18,8070,372,639.54,20,2322.04
2024-05-03,Google Ads,Campaign_14,8040,289,642.0,51,1802.28
2024-04-01,Meta Ads,Campaign_7,7795,281,494.85,42,4209.54
2024-07-13,Meta Ads,Campaign_15,8100,259,205.1,32,1464.33
2024-11-16,Meta Ads,Campaign_16,7930,256,509.82,42,4629.32
2024-02-29,Google Ads,Campaign_15,8051,303,752.01,13,427.84
2024-02-08,Google Ads,Campaign_16,7723,241,318.96,34,3346.94
2024-04-03,Meta Ads,Campaign_16,7973,255,246.71,41,4700.01
2024-03-28,Meta Ads,Campaign_4,7994,178,380.42,12,788.99
2024-12-20,Google Ads,Campaign_28,7981,267,526.03,44,4060.62
2024-02-01,Meta Ads,Campaign_20,8123,376,283.86,45,901.17
2024-05-10,Meta Ads,Campaign_16,8021,189,199.91,33,3152.4
2024-11-11,Meta Ads,Campaign_2,7921,161,292.4,11,1072.98
2024-01-04,Meta Ads,Campaign_4,7982,371,762.52,63,3011.68
2024-12-16,Google Ads,Campaign_15,8028,280,289.57,41,2209.74
2024-10-18,Meta Ads,Campaign_20,7995,212,261.3,31,2193.08
2024-10-15,Google Ads,Campaign_6,8077,187,312.31,27,2617.46
2024-03-18,Google Ads,Campaign_18,7960,340,663.3,44,4846.51
2024-01-14,Google Ads,Campaign_4,7941,357,274.09,38,2303.21
2024-10-15,Meta Ads,Campaign_28,8085,388,257.41,38,3267.05
2024-07-09,Meta Ads,Campaign_17,7932,213,295.36,35,1424.66
2024-01-02,Google Ads,Campaign_20,8075,277,252.18,28,1913.8
2024-06-20,Google Ads,Campaign_20,7867,429,1026.0,68,3068.81
2024-01-15,Google Ads,Campaign_12,7979,251,161.34,16,718.78
2024-02-18,Meta Ads,Campaign_30,7777,389,464.07,31,2993.3
2024-05-20,Meta Ads,Campaign_13,7852,163,234.41,23,1460.4
2024-02-21,Google Ads,Campaign_5,8066,168,107.56,8,907.6
2024-10-04,Meta Ads,Campaign_27,8055,199,81.52,9,365.77
2024-07-04,Meta Ads,Campaign_29,7952,255,283.55,30,2221.58
2024-11-07,Meta Ads,Campaign_11,7950,457,783.49,73,7802.05
2024-02-09,Meta Ads,Campaign_9,7868,332,409.96,41,4041.72
2024-10-04,Google Ads,Campaign_30,7964,417,661.48,64,6252.06
2024-07-22,Meta Ads,Campaign_7,8019,363,346.09,42,1129.26
2024-02-12,Google Ads,Campaign_20,7929,471,943.27,47,3729.67
2024-09-22,Google Ads,Campaign_18,7952,223,189.67,21,1802.52
2024-12-19,Google Ads,Campaign_5,7909,273,169.34,39,2979.1
2024-12-24,Meta Ads,Campaign_26,8100,355,180.3,49,924.73
2024-04-13,Google Ads,Campaign_3,8294,448,405.32,38,2691.05
2024-12-08,Google Ads,Campaign_14,8110,440,644.95,55,2057.82
2024-02-25,Meta Ads,Campaign_4,7804,397,477.67,16,396.35
2024-03-11,Meta Ads,Campaign_27,7908,389,390.94,24,2278.46
2024-12-15,Google Ads,Campaign_25,7998,456,358.24,52,5600.85
2024-11-04,Meta Ads,Campaign_10,7952,363,772.46,19,2142.54
2024-04-28,Google Ads,Campaign_11,7954,272,459.9,23,1496.73
2024-11-14,Google Ads,Campaign_17,8066,264,599.5,25,1633.39
2024-11-04,Google Ads,Campaign_3,8047,343,155.85,37,3625.6
2024-12-02,Meta Ads,Campaign_28,8086,411,704.99,59,4096.2
2024-08-29,Google Ads,Campaign_28,8050,268,399.47,16,712.15
2024-09-12,Meta Ads,Campaign_9,7821,221,208.83,28,1400.19
2024-04-25,Meta Ads,Campaign_26,8057,313,135.29,22,940.22
2024-01-27,Meta Ads,Campaign_27,7980,196,486.25,16,579.85
2024-07-19,Meta Ads,Campaign_20,7913,280,613.95,20,796.4
2024-06-17,Google Ads,Campaign_27,7919,226,124.5,16,1578.36
2024-09-16,Meta Ads,Campaign_25,8061,229,115.84,25,734.4
2024-10-13,Meta Ads,Campaign_1,7977,300,512.21,30,2066.91
2024-05-07,Meta Ads,Campaign_7,8052,237,337.68,13,943.0
2024-09-11,Google Ads,Campaign_4,8120,457,757.81,27,464.97
2024-10-27,Meta Ads,Campaign_28,8048,402,397.63,20,1059.3
2024-03-01,Google Ads,Campaign_1,7896,294,144.62,34,1566.57
2024-04-17,Meta Ads,Campaign_21,7800,404,931.15,26,1747.02
2024-06-13,Meta Ads,Campaign_6,7995,421,827.37,51,3782.44
2024-09-10,Google Ads,Campaign_17,8089,425,525.45,54,6154.28
2024-06-14,Google Ads,Campaign_18,8036,389,716.68,43,4717.57
2024-03-04,Google Ads,Campaign_3,7940,346,825.6,16,1040.52
2024-08-01,Google Ads,Campaign_19,7909,239,507.54,38,626.4
2024-02-15,Google Ads,Campaign_23,7989,360,449.7,55,2757.7
2024-05-02,Meta Ads,Campaign_18,7964,218,513.33,11,326.66
2024-08-16,Google Ads,Campaign_17,7928,181,156.64,14,1656.75
2024-02-27,Meta Ads,Campaign_19,7876,183,388.16,14,1030.37
2024-01-20,Meta Ads,Campaign_6,7860,218,325.41,18,1549.46
2024-10-09,Meta Ads,Campaign_16,7971,374,375.11,66,6208.86
2024-09-25,Meta Ads,Campaign_21,8094,202,347.65,25,2565.25
2024-12-14,Meta Ads,Campaign_21,7906,411,342.41,48,4812.48
2024-08-20,Meta Ads,Campaign_24,7991,202,365.73,17,443.13
2024-01-14,Google Ads,Campaign_29,7947,180,116.81,28,1765.72
2024-01-17,Meta Ads,Campaign_26,8073,213,92.41,11,362.65
2024-06-08,Meta Ads,Campaign_26,8076,323,285.62,15,641.13
2024-04-30,Meta Ads,Campaign_14,7990,214,163.86,34,2150.3
2024-08-01,Google Ads,Campaign_14,8019,193,223.1,8,804.87
2024-09-15,Google Ads,Campaign_2,7948,311,665.64,41,846.13
2024-05-15,Meta Ads,Campaign_13,8150,252,429.13,10,312.14
2024-03-06,Google Ads,Campaign_15,7988,443,984.72,65,1575.49
2024-05-16,Google Ads,Campaign_6,8101,442,520.94,24,1145.43
2024-08-31,Meta Ads,Campaign_29,8141,479,1196.11,53,3999.58
2024-04-09,Google Ads,Campaign_14,7920,363,240.71,16,1181.72
2024-11-24,Meta Ads,Campaign_24,7994,217,400.13,18,2016.1
2024-10-10,Google Ads,Campaign_28,7913,396,530.51,46,849.7
2024-10-08,Google Ads,Campaign_11,7836,290,575.48,19,902.66
2024-03-11,Google Ads,Campaign_19,8024,445,192.71,46,3107.1
2024-10-01,Meta Ads,Campaign_13,8010,227,96.32,34,3603.69
2024-10-17,Meta Ads,Campaign_19,8096,375,544.43,56,3649.1
2024-10-23,Google Ads,Campaign_2,8154,169,286.46,10,376.9
2024-03-20,Google Ads,Campaign_16,8002,430,353.55,23,2405.41
2024-12-12,Meta Ads,Campaign_14,7963,475,434.08,78,5754.25
2024-12-26,Meta Ads,Campaign_2,7954,224,411.79,22,362.24
2024-12-19,Google Ads,Campaign_2,8034,328,203.88,30,2494.89
2024-07-22,Google Ads,Campaign_21,7988,290,325.61,22,1586.68
2024-07-29,Google Ads,Campaign_21,8066,191,328.72,17,1172.71
2024-06-21,Meta Ads,Campaign_12,7872,162,378.07,28,2716.05
2024-12-09,Meta Ads,Campaign_6,7989,250,493.32,36,759.94
2024-07-12,Google Ads,Campaign_6,7993,432,455.16,26,2331.37
2024-08-31,Meta Ads,Campaign_25,7977,447,933.74,50,3184.74
2024-10-29,Meta Ads,Campaign_28,8082,220,103.79,26,3113.72
2024-05-20,Google Ads,Campaign_25,8101,269,576.02,42,3955.19
2024-05-26,Google Ads,Campaign_13,8153,210,449.0,33,1546.04
2024-10-04,Google Ads,Campaign_27,8020,203,282.17,16,1874.38
2024-03-22,Google Ads,Campaign_30,8039,341,572.9,34,3711.85
2024-10-26,Google Ads,Campaign_15,8067,402,564.88,60,2811.15
2024-01-18,Google Ads,Campaign_24,8061,411,468.52,37,820.68
2024-03-03,Google Ads,Campaign_9,7981,174,140.15,21,913.16
2024-07-28,Meta Ads,Campaign_28,7989,221,480.65,34,3961.16
2024-01-26,Google Ads,Campaign_12,7939,171,247.65,10,547.55
2024-03-06,Google Ads,Campaign_3,8004,206,233.64,21,2000.69
2024-12-31,Meta Ads,Campaign_17,7966,314,492.87,22,1865.52
2024-07-06,Google Ads,Campaign_19,7917,373,383.06,63,1185.59
2024-10-02,Google Ads,Campaign_23,7998,347,580.08,61,4561.84
2024-06-28,Meta Ads,Campaign_10,8098,257,282.38,23,1837.0
2024-01-09,Meta Ads,Campaign_21,8166,306,356.9,25,2476.74
2024-04-22,Meta Ads,Campaign_2,8011,354,756.75,43,3163.13
2024-03-03,Google Ads,Campaign_11,7967,322,412.83,57,3273.56
2024-08-25,Meta Ads,Campaign_28,7972,313,186.86,28,2486.28
2024-01-17,Google Ads,Campaign_15,8068,385,350.67,18,1083.22
2024-01-30,Google Ads,Campaign_24,7989,466,246.75,25,1358.91
2024-06-04,Meta Ads,Campaign_22,7974,399,820.66,52,4187.2
2024-05-14,Meta Ads,Campaign_25,8034,296,197.55,13,238.51
2024-01-13,Meta Ads,Campaign_10,8056,205,489.22,24,2642.47
2024-12-01,Meta Ads,Campaign_25,7824,398,877.8,65,2187.83
2024-09-06,Meta Ads,Campaign_28,7852,434,235.35,23,752.39
2024-09-23,Google Ads,Campaign_25,7839,448,665.02,66,4754.97
2024-04-04,Google Ads,Campaign_10,7973,186,285.31,33,603.86
2024-10-24,Google Ads,Campaign_28,8002,240,118.59,43,1486.22
2024-08-02,Meta Ads,Campaign_24,7931,263,169.16,37,3840.39
2024-06-30,Google Ads,Campaign_20,8059,345,819.89,21,1893.55
2024-09-06,Google Ads,Campaign_28,8096,305,292.62,32,2842.44
2024-12-03,Google Ads,Campaign_23,8004,416,371.45,48,1858.49
2024-02-15,Meta Ads,Campaign_18,7800,283,137.89,31,572.85
2024-06-23,Meta Ads,Campaign_14,7973,404,561.88,49,3699.51
2024-10-16,Google Ads,Campaign_14,7902,166,296.6,7,222.87
2024-01-31,Meta Ads,Campaign_12,7974,343,848.96,34,1606.39
2024-03-01,Meta Ads,Campaign_15,8055,461,1030.3,35,1523.47
2024-06-11,Google Ads,Campaign_12,7876,416,519.2,32,1676.92
2024-06-27,Google Ads,Campaign_11,7889,436,499.52,46,5375.55
2024-05-26,Google Ads,Campaign_21,7990,195,282.19,28,1329.97
2024-03-06,Google Ads,Campaign_19,7940,287,472.75,14,1656.6
2024-03-03,Meta Ads,Campaign_14,7893,360,433.44,16,878.87
2024-11-26,Meta Ads,Campaign_21,8049,167,124.46,21,1225.74
2024-09-03,Google Ads,Campaign_3,7961,212,433.03,34,2288.34
2024-04-23,Meta Ads,Campaign_24,7988,299,247.92,25,1970.53
2024-07-25,Google Ads,Campaign_19,8091,398,860.73,63,2596.97
2024-11-25,Meta Ads,Campaign_22,7936,171,318.22,19,606.24
2024-05-18,Meta Ads,Campaign_15,8045,408,270.05,43,1372.91
2024-02-18,Google Ads,Campaign_3,7807,262,318.36,22,1781.14
2024-07-16,Meta Ads,Campaign_26,7896,264,641.87,39,1313.41
2024-03-12,Meta Ads,Campaign_24,8081,265,570.79,30,1652.84
2024-10-28,Google Ads,Campaign_18,7983,229,527.26,35,3866.19
2024-06-06,Meta Ads,Campaign_12,8048,347,817.62,17,2016.72
2024-04-07,Google Ads,Campaign_7,7975,424,1039.29,74,2197.46
2024-07-11,Google Ads,Campaign_6,7941,363,426.26,47,3307.66
2024-08-13,Google Ads,Campaign_24,7988,186,337.84,28,3077.52
2024-08-14,Meta Ads,Campaign_17,7945,255,370.57,29,2497.47
2024-07-12,Google Ads,Campaign_21,8091,348,204.24,29,1925.97
2024-07-22,Meta Ads,Campaign_14,7919,236,133.29,35,1150.13
2024-11-01,Meta Ads,Campaign_4,8033,217,90.74,33,2895.34
2024-06-08,Google Ads,Campaign_9,7916,408,280.32,66,4900.99
2024-05-26,Google Ads,Campaign_30,7985,475,699.83,78,6354.38
2024-06-26,Meta Ads,Campaign_23,7933,228,195.58,32,693.07
2024-05-23,Google Ads,Campaign_10,8062,478,932.91,45,782.97
2024-07-30,Meta Ads,Campaign_22,7925,257,251.7,16,1256.92
2024-04-13,Google Ads,Campaign_29,7920,187,137.36,28,3221.75
2024-03-01,Google Ads,Campaign_28,7949,427,641.96,23,2265.17
2024-01-14,Google Ads,Campaign_16,8158,438,248.51,74,2174.45
2024-06-21,Meta Ads,Campaign_7,7908,255,407.67,14,662.73
2024-07-29,Meta Ads,Campaign_13,8131,350,631.26,55,1956.2
2024-12-30,Google Ads,Campaign_4,7791,250,340.32,25,2914.58
2024-03-31,Google Ads,Campaign_8,7919,180,317.28,24,1251.71
2024-01-30,Meta Ads,Campaign_7,7970,167,91.87,14,339.03
2024-01-30,Google Ads,Campaign_29,8062,248,193.49,44,1565.59
2024-08-16,Google Ads,Campaign_29,8048,221,425.41,31,703.12
2024-03-29,Google Ads,Campaign_10,7799,360,239.24,57,6465.25
2024-02-02,Google Ads,Campaign_9,8053,370,402.05,57,1204.89
2024-11-15,Meta Ads,Campaign_17,7978,163,261.16,10,507.69
2024-03-02,Meta Ads,Campaign_13,8020,368,444.4,48,1276.89
2024-12-07,Meta Ads,Campaign_16,8047,482,720.94,67,5030.98
2024-08-30,Google Ads,Campaign_12,7923,359,712.85,29,3204.92
2024-04-29,Meta Ads,Campaign_11,7999,197,166.51,17,403.8
2024-03-14,Google Ads,Campaign_7,7945,270,485.54,38,3326.25
2024-12-06,Google Ads,Campaign_24,7928,218,131.98,17,752.54
2024-10-30,Meta Ads,Campaign_8,7903,435,635.14,77,6981.69
2024-09-04,Meta Ads,Campaign_13,7926,263,355.64,25,2852.08
2024-10-26,Meta Ads,Campaign_13,8083,289,125.5,41,4698.42
2024-02-03,Meta Ads,Campaign_26,7970,174,417.19,23,364.92
2024-06-27,Meta Ads,Campaign_14,7893,278,590.35,43,3418.26
2024-06-23,Google Ads,Campaign_29,8010,288,519.14,33,2660.39
2024-05-06,Meta Ads,Campaign_24,8019,410,642.64,38,2342.16
2024-10-05,Meta Ads,Campaign_22,7904,212,126.76,29,3323.49
